,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Giá,Loại tin,Loại BDS,Chính chủ,Pháp lý,DT,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Hướng,Đường trước nhà,Phòng ăn,Nhà bếp,Sân thượng,Chổ để xe hơi
30,Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,"5,75 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,38 m,"4,2m",9m,3,3,_,3m,Y,Y,Y,---
31,Đường An Phú Đông 1, Phường An Phú Đông, Quận 12, Hồ Chí Minh,"3,95 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,4.000 m,50m,81m,---,---,_,25m,---,---,---,---
32,Đường Cây Keo, Phường Tam Phú, Thành phố Thủ Đức, Hồ Chí Minh,"3,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,80 m,5m,17m,2,4,_,8m,Y,Y,Y,Y
33,Đường Trần Văn Giàu, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,"2,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,160 m,8m,20m,---,---,_,16m,---,---,---,---
34,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,"1,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,113 m,"4,5m",25m,1,3,_,10m,Y,Y,---,Y
35,Đường Nguyễn Duy Trinh, Phường Long Trường, Quận 9, Hồ Chí Minh,"3,47 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,72 m,4m,18m,---,---,_,5m,---,---,---,---
36,Đường Số 9, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,"7,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,80 m,7m,15m,---,---,_,10m,---,---,---,---
37,Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh,550 triệu,Cần bán,Nhà mặt tiền,---,---,96 m,4m,12m,1,2,_,12m,---,---,---,---
38,Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,"5,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,"4,5m",9m,3,4,_,4m,Y,Y,Y,Y
39,Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Hồ Chí Minh,"23,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,105 m,"4,6m",23m,6,15,_,8m,Y,Y,Y,Y
40,Đường Cây Da, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh,990 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,115 m,5m,23m,---,---,_,8m,---,---,---,---
41,Hà Đông Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội,"3,75 tỷ",Cần bán,Nhà mặt tiền,---,---,40 m,6m,---,5,4,_,4m,Y,Y,Y,Y
42,Đường Lương Thế Vinh, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội,40 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,155 m,"9,3m",---,9,29,_,15m,---,---,---,---
43,Phố Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa, Hà Nội,"3,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,40 m,4m,---,5,3,_,3m,---,---,---,---
44,Đường Trần Quang Diệu, Phường An Thới, Quận Bình Thủy, Cần Thơ,"6,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,---,95 m,"4,4m","23,5m",---,---,_,33m,---,---,---,---
45,Phố Châu Long, Phường Trúc Bạch, Quận Ba Đình, Hà Nội,32 tỷ,Cần bán,Nhà mặt tiền,---,---,75 m,---,---,4,4,_,15m,---,---,---,---
46,Đường Suối Lội, Xã Tân Thông Hội, Huyện Củ Chi, Hồ Chí Minh,"1,2 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,150 m,6m,25m,---,---,_,6m,---,---,---,---
47,Đường Đặng Thúc Vịnh, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh,850 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,120 m,5m,24m,---,---,Tây Bắc,6m,---,---,---,---
48,Đường Phạm Thế Hiển, Phường 7, Quận 8, Hồ Chí Minh,"1,95 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,54 m,4m,"13,5m",1,2,_,"3,5m",---,---,---,---
49,Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh,"5,6 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,143 m,"6,5m",22m,4,8,_,26m,Y,Y,Y,Y
50,Đường Hà Đặc, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh,"1,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,83 m,5m,"16,6m",1,3,_,8m,---,---,---,---
51,Đường Trường Chinh, Phường 14, Quận Tân Bình, Hồ Chí Minh,"38,8 tỷ",Cần bán,Nhà trong hẻm,---,---,338 m,12m,29m,3,6,_,12m,---,---,---,---
52,Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh,"5,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,90 m,6m,15m,3,5,_,8m,Y,Y,Y,Y
53,Đường Chu Văn An, Phường 26, Quận Bình Thạnh, Hồ Chí Minh,"3,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,90 m,5m,18m,2,4,_,12m,Y,Y,Y,Y
54,Đường Lê Thị Hà, Thị trấn Hóc Môn, Huyện Hóc Môn, Hồ Chí Minh,730 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,78 m,"5,2m",15m,---,2,_,6m,---,---,---,---
55,Đường Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,"1,98 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,112 m,5m,16m,1,3,_,10m,---,---,---,---
56,Đường Cao Đức Lân, Phường An Phú, Quận 2, Hồ Chí Minh,"3,25 tỷ",Cần bán,Nhà mặt tiền,---,---,105 m,6m,"17,5m",3,4,_,8m,---,---,---,---
57,Đường Huỳnh Văn Bánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh,"3,25 tỷ",Cần bán,Nhà mặt tiền,---,---,78 m,5m,"15,6m",3,4,_,8m,---,---,---,---
58,Đường Huỳnh Thị Mài, Xã Tân Hiệp, Huyện Hóc Môn, Hồ Chí Minh,975 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,88 m,"5,5m",16m,1,2,_,8m,Y,Y,---,Y
59,Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,"1,15 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,112 m,"4,5m",22m,1,3,_,10m,---,---,---,---
60,Đường Võ Thị Nhúa, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh,"1,6 tỷ",Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,285 m,10m,"28,5m",---,---,_,6m,---,---,---,---
61,Đường Tân Hòa Đông, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh,"2,62 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,35 m,"3,5m",11m,2,2,Đông Nam,4m,Y,Y,---,---
62,Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh,"17,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,700 m,"6,5m",23m,6,7,Tây,16m,Y,Y,Y,Y
63,Đường Võ Liêm Sơn, Phường 5, Quận 8, Hồ Chí Minh,"2,2 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,60 m,4m,15m,1,2,_,5m,---,---,---,---
65,Đường Lê Minh Nhựt, Xã Tân An Hội, Huyện Củ Chi, Hồ Chí Minh,"1,2 tỷ",Cần bán,Nhà mặt tiền,---,---,200 m,10m,20m,---,10,_,8m,---,---,---,---
66,Đường Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh,7 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,56 m,4m,14m,1,2,_,6m,Y,Y,---,Y
67,Đường Tỉnh lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,"1,2 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,---,80 m,5m,16m,---,---,_,20m,---,---,---,---
68,Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,"6,8 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,100 m,7m,15m,2,3,_,3m,---,---,---,---
70,Trần Văn Giàu Đường Trần Văn Giàu, Phường Tân Tạo A, Quận Bình Tân, Hồ Chí Minh,850 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,98 m,"3,6m","8,5m",2,4,_,6m,Y,Y,Y,Y
71,Đường Lê Văn Khương, Phường Thới An, Quận 12, Hồ Chí Minh,"4,8 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,292 m,"4,3m",17m,4,4,Nam,12m,Y,Y,Y,Y
72,Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh,50 triệu / m,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,238 m,14m,18m,---,---,_,12m,---,---,---,---
73,Đường Nguyễn Thị Thảnh, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh,"1,15 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,63 m,"5,45m","11,5m",1,2,_,5m,---,---,---,---
74,Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh,"7,95 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,338 m,5m,15m,5,4,Tây Bắc,5m,Y,Y,Y,Y
75,Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh,"1,4 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,67 m,"4,5m","14,5m",1,2,_,4m,---,Y,---,---
76,Trần Văn Giàu Đường Trần Văn Giàu, Xã Bình Lợi, Huyện Bình Chánh, Hồ Chí Minh,660 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,68 m,4m,8m,1,2,_,8m,Y,Y,Y,Y
78,Đường Đặng Thai Mai, Phường 7, Quận Phú Nhuận, Hồ Chí Minh,7 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,56 m,"4,7m",12m,2,4,_,6m,---,---,---,---
79,Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,285 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,1,2,_,6m,Y,Y,---,---
80,Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Hồ Chí Minh,"6,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,2,3,_,6m,---,---,---,---
81,68 Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh,70 triệu / m,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,90 m,---,---,---,---,_,12m,---,---,---,---
82,Đường Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, Hồ Chí Minh,"1,56 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,166 m,6m,27m,1,2,_,4m,---,---,---,---
83,Tỉnh Lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Hồ Chí Minh,900 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,125 m,5m,25m,---,---,_,12m,---,---,---,---
84,Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,"6,8 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,100 m,7m,15m,2,3,_,"2,5m",Y,Y,Y,Y
85,1508 Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh,"2,45 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,122 m,"3,2m",12m,4,4,_,7m,Y,Y,Y,Y
86,Đường Nguyễn Thông, Phường 9, Quận 3, Hồ Chí Minh,"3,15 tỷ",Cần bán,Nhà mặt tiền,---,---,95 m,5m,19m,3,5,_,12m,---,---,---,---
87,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,155 triệu,Cần bán,"Đất thổ cư, đất ở",---,---,60 m,4m,15m,---,---,_,8m,---,---,---,---
88,Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh,"3,15 tỷ",Cần bán,Nhà mặt tiền,---,Giấy tờ hợp lệ,95 m,5m,19m,3,5,_,20m,---,---,---,---
89,Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Hồ Chí Minh,"4,8 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,280 m,"4,5m",15m,4,5,_,12m,Y,Y,Y,Y
90,Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh,750 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,360 m,12m,30m,---,---,_,8m,---,---,---,---
91,Đường Trường Sơn, Phường 4, Quận Tân Bình, Hồ Chí Minh,"3,15 tỷ",Cần bán,Nhà mặt tiền,---,Giấy tờ hợp lệ,95 m,5m,19m,3,5,_,18m,Y,Y,---,Y
92,Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh,"4,349 tỷ",Cần bán,Nhà mặt tiền,---,---,209 m,"4,5m",---,4,5,_,8m,Y,Y,Y,Y
93,Tỉnh Lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Hồ Chí Minh,"1,7 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,125 m,5m,25m,---,---,_,9m,---,---,---,---
94,Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,550 triệu,Cần bán,"Đất nền, liền kề, đất dự án",---,---,100 m,5m,20m,---,---,_,12m,---,---,---,---
95,Đường Số 10, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,"6,9 tỷ",Cần bán,Nhà mặt tiền,---,---,76 m,4m,18m,2,4,_,6m,Y,Y,Y,Y
96,Đường Cống Lở, Phường 15, Quận Tân Bình, Hồ Chí Minh,"3,88 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,72 m,3m,12m,1,2,Tây,3m,Y,Y,---,---
97,Đường Liên Khu 5 - 6, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"1,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,70 m,4m,9m,1,2,_,8m,Y,Y,Y,Y
98,Đường Tây Hòa, Phường Phước Long A, Quận 9, Hồ Chí Minh,"1,9 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,80 m,5m,16m,2,4,_,6m,---,---,---,---
99,Đường Lê Văn Thịnh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh,"3,52 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,90 m,5m,18m,2,4,_,6m,Y,Y,Y,Y
100,24AB Đường D5, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,"2,65 tỷ",Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,70 m,---,---,9,2,_,20m,---,---,---,---
101,Đường Quang Trung, Phường Hiệp Phú, Quận 9, Hồ Chí Minh,"1,2 tỷ",Cần bán,Nhà mặt tiền,---,---,190 m,10m,19m,---,16,_,6m,---,---,---,---
102,Đường Lê Bình, Phường 4, Quận Tân Bình, Hồ Chí Minh,33 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,104 m,5m,21m,5,7,_,20m,Y,Y,Y,Y
103,Đường Dương Công Khi, Xã Vĩnh Lộc A, Huyện Bình Chánh, Hồ Chí Minh,750 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,360 m,12m,30m,---,---,_,8m,---,---,---,---
104,Đường Đặng Thúc Vịnh, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh,2 tỷ,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,134 m,5m,26m,---,13,_,5m,Y,Y,---,Y
105,Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,550 ngàn,Cần bán,"Đất thổ cư, đất ở",---,---,100 m,---,---,---,---,_,12m,---,---,---,---
106,Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh,900 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,240 m,10m,24m,---,16,_,5m,---,---,---,---
107,Đường Lũy Bán Bích, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh,"17,2 tỷ",Cần bán,Nhà mặt tiền,---,---,280 m,---,18m,5,6,_,10m,---,---,---,---
108,Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Hồ Chí Minh,"1,47 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,36 m,4m,---,2,2,_,5m,Y,Y,---,Y
109,Đường Phạm Thị Giây, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh,920 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,68 m,4m,17m,1,3,Đông,6m,---,---,---,---
110,Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh,850 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,210 m,10m,21m,---,14,_,5m,---,---,---,---
111,Đường Tỉnh lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,750 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,64 m,4m,8m,1,2,_,8m,---,---,---,---
112,Đường Thái Thị Giữ, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh,980 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,52 m,4m,13m,1,2,_,5m,---,---,---,---
113,Đường Cây Điệp, Phường Đa Kao, Quận 1, Hồ Chí Minh,350 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,313 m,14m,25m,3,5,_,6m,Y,Y,Y,Y
114,Đường Tỉnh lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,415 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,44 m,4m,6m,1,2,_,8m,---,---,---,---
115,Đường Tô Ký, Xã Thới Tam Thôn, Huyện Hóc Môn, Hồ Chí Minh,800 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,240 m,10m,24m,---,16,_,5m,---,---,---,---
116,Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,"4,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,56 m,---,15m,3,4,_,10m,---,---,---,---
